PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Lorenzen Wright,MEM,80,28.6,9.6,4,8.5,46.9,0,0,0,1.6,2.5,66.2,2.2,5.5,7.7,1.1,0.7,0.9,1.3,13.4
Antonio McDyess,DET,77,23.3,9.6,4,7.8,51.3,0,0,0,1.6,2.5,65.6,2.3,4,6.3,0.9,0.6,0.7,1.2,12.2
Jason Hart,CHA,74,25.5,9.5,3.5,7.7,44.9,0.5,1.3,36.8,2.1,2.7,78.5,0.2,2.5,2.7,5,1.3,0.2,1.4,12.5
Nazr Mohammed,SAS,77,25.1,9.5,3.8,7.8,48,0,0,0,2,2.9,67.4,3.2,4.4,7.6,0.4,0.8,1.1,1.4,13
Mark Blount,BOS,82,26,9.4,4,7.5,52.9,0,0,0,1.4,2,71.3,1.7,3.1,4.8,1.6,0.4,0.8,1.9,11
Andre Iguodala,PHI,82,32.8,9,3.3,6.7,49.3,0.6,1.7,33.1,1.9,2.6,74.3,1.1,4.6,5.7,3,1.7,0.6,1.7,14.2
Austin Croshere,IND,73,25.1,8.9,2.6,6.8,37.8,0.6,2.4,25.9,3.1,3.5,88.3,1.4,3.7,5.1,1.3,0.7,0.2,1.4,10.2
Gordan Giricek,UTA,81,20.5,8.8,3.5,7.8,44.8,0.5,1.3,36.2,1.4,1.7,81,0.3,1.9,2.2,1.7,0.6,0.1,1.1,7.7
Troy Hudson,MIN,79,21.9,8.7,3.4,8.4,40.1,1.1,3.3,34.5,0.9,1.1,77.8,0.2,1.1,1.3,3.6,0.3,0.1,1.4,7.4
Jameer Nelson,ORL,79,20.4,8.7,3.6,7.9,45.5,0.6,1.8,31.2,0.9,1.4,68.2,0.7,1.8,2.4,3,1,0,1.5,8.9
Jason Kapono,CHA,81,18.4,8.5,3.3,8.3,40.1,1,2.4,41.2,0.9,1,82.4,0.4,1.6,2,0.8,0.5,0.1,0.6,6.1
Michael Sweetney,NYK,77,19.6,8.4,3.1,5.8,53.1,0,0,0,2.3,3.1,74.9,2.2,3.2,5.4,0.6,0.4,0.4,1.4,10.3
Predrag Drobnjak,ATL,71,20.2,8.4,3.4,7.6,43.8,0.4,1,35.2,1.4,1.7,80,1,2.3,3.4,0.7,0.6,0.3,1.1,7.6
Andres Nocioni,CHI,81,23.4,8.4,3,7.4,40.1,0.3,1.2,25.8,2.1,2.7,76.6,0.9,3.9,4.8,1.5,0.5,0.4,1.7,8.8
Bruce Bowen,SAS,82,32,8.2,3.1,7.3,42,1.2,3.1,40.3,0.9,1.4,63.4,0.6,2.9,3.5,1.5,0.7,0.5,0.7,9
Samuel Dalembert,PHI,72,24.8,8.2,3.5,6.6,52.4,0,0,0,1.2,2.1,60.1,2.6,4.9,7.5,0.5,0.6,1.7,1.6,13
Othella Harrington,CHI,70,18.2,8,3.1,6.1,51.2,0,0,0,1.8,2.5,71.8,1.5,2.7,4.2,0.8,0.3,0.3,1.2,8.7
Tyson Chandler,CHI,80,27.4,8,2.6,5.2,49.4,0,0,0,2.8,4.2,67.3,3.3,6.4,9.7,0.8,0.9,1.8,1.5,15.6
Earl Watson,MEM,80,22.6,7.7,3,6.9,42.6,0.7,2,31.9,1.1,1.7,65.9,0.4,1.6,2.1,4.5,1,0.2,2.1,8.9
Jumaine Jones,LAL,76,24.1,7.6,2.8,6.4,43.2,1.3,3.4,39.1,0.7,1,73.3,1.4,3.8,5.2,0.9,0.6,0.3,0.6,10
Eddie Griffin,MIN,70,21.3,7.5,2.9,7.5,38.7,1,2.9,32.8,0.8,1.1,71.8,1.8,4.6,6.5,0.8,0.3,1.7,0.8,11.1
Clifford Robinson,NJN,71,23.8,7.5,2.8,7.4,38.6,0.9,2.7,34.7,0.9,1.4,63.9,0.8,2.2,2.9,1.5,0.9,0.7,0.9,7.6
Darius Songaila,SAC,81,20.6,7.5,3.2,6,52.7,0,0,0,1.2,1.4,84.7,1.5,2.7,4.2,1.4,0.6,0.2,0.9,10.1
Brent Barry,SAS,81,21.5,7.4,2.4,5.7,42.3,1.2,3.5,35.7,1.4,1.7,83.7,0.4,2,2.3,2.2,0.5,0.2,0.8,8.4
Dan Gadzuric,MIL,81,22,7.3,3,5.6,53.9,0,0,0,1.3,2.5,53.8,3.2,5.1,8.3,0.4,0.6,1.3,1,13.2
Melvin Ely,CHA,79,20.9,7.3,2.9,6.7,43.2,0,0,0,1.5,2.7,57.5,1.8,2.3,4.1,1,0.4,0.9,1.5,7.3
Matt Bonner,TOR,82,19,7.2,3,5.6,53.3,0.5,1.1,42.4,0.7,0.9,78.9,1.3,2.2,3.5,0.6,0.5,0.2,0.5,8.6
DerMarr Johnson,DEN,71,17.4,7.1,2.6,5.2,49.9,0.7,2.1,35.8,1.1,1.4,79.2,0.6,1.5,2.1,1.1,0.6,0.3,0.9,7.3
Malik Rose,NYK,76,19.4,7,2.6,5.8,44.9,0,0.1,10,1.8,2.4,73.7,1.7,2.8,4.5,0.8,0.6,0.2,1.3,7.9
Antonio Davis,CHI,72,25.6,7,2.7,5.8,46.1,0,0,0,1.6,2.1,75.7,2.1,3.8,5.9,1.1,0.4,0.6,1.3,10
Bostjan Nachbar,NOH,71,18.9,7,2.3,5.8,39.2,1.1,2.8,38.3,1.4,1.6,82.9,0.3,2.2,2.6,1,0.4,0.2,1,6.4
Jared Jeffries,WAS,77,26.1,6.8,2.6,5.6,46.8,0.2,0.7,31.4,1.3,2.2,58.4,2,2.9,4.9,2,0.9,0.5,1.5,9.5
Travis Best,NJN,76,19.2,6.8,2.5,5.9,42,0.3,1.1,30.6,1.4,1.6,88.5,0.3,1.2,1.4,1.9,0.9,0.1,0.9,6.5
Al Jefferson,BOS,71,14.8,6.7,2.7,5.2,52.8,0,0,0,1.2,1.9,63,1.7,2.7,4.4,0.3,0.3,0.8,0.9,8.4
Trenton Hassell,MIN,82,25.2,6.6,2.7,5.8,47.4,0,0.1,9.1,1.1,1.4,78.9,1,1.7,2.7,1.6,0.4,0.4,0.8,7.4
Carlos Arroyo,DET,70,10.1,6.6,2.4,6.1,38.9,0.1,0.4,26.7,1.7,2.1,79.9,0.4,1.1,1.5,4,0.6,0.1,1.5,7.1
Casey Jacobsen,NOH,84,21.5,6.5,2,4.9,40.4,0.8,2.1,37.3,1.8,2.3,78.6,0.4,1.6,2,1.3,0.4,0.1,0.8,6.1
Jiri Welsch,CLE,71,18.6,6.5,2.1,5.2,40.2,0.5,1.5,30.9,1.8,2.4,76.3,0.4,2,2.4,1.5,0.6,0.1,1,6.3
Joel Przybilla,POR,76,24.4,6.4,2.6,4.4,59.8,0,0,0,1.2,2.3,51.7,2.3,5.4,7.7,1,0.3,2.1,1.3,13.4
Tony Allen,BOS,77,16.4,6.4,2.4,5,47.5,0.2,0.4,38.7,1.5,2,73.7,1.1,1.8,2.9,0.8,1,0.3,1,7.2
Jason Collins,NJN,80,31.8,6.4,2.3,5.6,41.2,0,0.1,33.3,1.7,2.6,65.6,1.9,4.2,6.1,1.3,0.9,0.9,1.1,10.2
Brian Cook,LAL,72,15.1,6.4,2.4,5.9,41.7,1.1,2.8,39.2,0.4,0.5,75.7,0.9,2.1,3,0.5,0.3,0.4,0.4,6.6
Zaza Pachulia,MIL,74,18.9,6.2,2.2,4.8,45.2,0,0,0,1.9,2.5,74.6,1.8,3.3,5.1,0.8,0.6,0.5,0.9,9
Greg Buckner,DEN,70,21.7,6.2,2.3,4.3,52.8,0.7,1.7,40.5,0.9,1.2,77.8,0.9,2,3,1.9,1.1,0.1,0.7,9.2
Robert Horry,SAS,75,18.6,6,2.1,5,41.9,0.7,1.8,37,1.1,1.5,78.9,1.2,2.4,3.6,1.1,0.9,0.8,0.9,8.2
Chris Duhon,CHI,82,26.6,5.9,2.1,6,35.2,1.1,3.2,35.5,0.6,0.8,73.1,0.3,2.3,2.6,4.9,1,0,1.5,8.9
Ira Newble,CLE,74,24.8,5.9,2.5,5.7,42.9,0.3,0.7,35.8,0.7,0.9,79.7,1.1,1.9,3,1.2,0.7,0.2,0.8,6.8
Beno Udrih,SAS,80,14.4,5.9,2.2,4.9,44.4,0.7,1.8,40.8,0.8,1.1,75.3,0.2,0.8,1,1.9,0.5,0.1,1,5.5
Rasho Nesterovic,SAS,70,25.5,5.9,2.8,6.1,46,0,0,0,0.2,0.4,46.7,2.6,3.9,6.6,1,0.4,1.7,1,11
Trevor Ariza,NYK,80,17.3,5.9,2.2,4.9,44.2,0,0.2,23.1,1.5,2.2,69.5,1.1,1.9,3,1.1,0.9,0.2,0.9,6.8
Milt Palacio,TOR,80,19.2,5.8,2.2,4.9,44.6,0,0.2,16.7,1.4,1.9,74.2,0.3,1.4,1.7,3.5,0.6,0.2,1.3,7.3
Fred Hoiberg,MIN,76,16.7,5.8,1.8,3.7,48.9,0.9,1.9,48.3,1.2,1.3,87.3,0.4,2,2.4,1.1,0.7,0.2,0.3,7.8
Jason Collier,ATL,70,13.5,5.7,2.5,5.4,46.3,0.1,0.2,42.9,0.7,1,67.6,1.2,1.4,2.6,0.3,0.2,0.2,0.9,4.9
Devin Harris,DAL,76,15.4,5.7,2.1,4.8,42.9,0.6,1.7,33.6,1,1.4,75.7,0.4,1,1.3,2.2,1,0.3,1.1,6.4
Nick Collison,SEA,82,17,5.6,2.3,4.3,53.7,0,0,0,1,1.4,70.3,1.9,2.7,4.6,0.4,0.4,0.6,0.8,8.5
Howard Eisley,UTA,74,19.4,5.6,2.2,5.5,39.8,0.4,1.4,26.2,0.9,1.1,79.5,0.2,1,1.2,3.4,0.6,0.1,1.5,5.9
Robert Traylor,CLE,74,17.9,5.5,2.4,5.4,44.4,0,0.1,0,0.7,1.4,53.9,1.8,2.6,4.5,0.8,0.7,0.7,1,7.6
Rick Brunson,LAC,80,24.3,5.5,2.1,5.5,37.6,0.6,1.6,36.9,0.7,0.9,77,0.3,2.1,2.3,5.1,1,0.1,1.6,8.8
Mikki Moore,LAC,74,15.9,5.4,1.9,3.9,50.2,0,0.1,20,1.4,1.8,78.7,1.3,2,3.3,0.6,0.3,0.4,0.9,6.8
Jacque Vaughn,NJN,71,19.9,5.3,2.1,4.6,44.9,0.1,0.2,33.3,1.1,1.3,83.5,0.2,1.3,1.5,1.9,0.6,0,0.9,5.6
Keyon Dooling,MIA,74,16,5.2,1.9,4.7,40.3,0.3,1,25.3,1.1,1.5,78,0.1,1.1,1.2,1.8,0.5,0.1,0.9,4.9
Quinton Ross,LAC,78,21.2,5.1,2.1,4.8,43.2,0,0.1,25,0.9,1.4,67.3,0.8,1.9,2.7,1.4,0.7,0.3,0.7,6.2
