PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Jamaal Magloire,CHH,82,18.9,8.5,2.8,5,55.1,0,0,0,3,4.1,73,1.9,3.8,5.6,0.4,0.3,1,1.4,11.1
Rasho Nesterovic,MIN,82,27,8.4,4,8,49.3,0,0,0,0.5,0.9,54.9,2.4,4.1,6.5,0.9,0.5,1.3,1.1,12.1
Mark Jackson,NYK,82,28.9,8.4,3.2,7.2,43.9,1,2.4,40.5,1.1,1.3,79.1,0.7,3.1,3.8,7.4,0.9,0,1.8,14.3
P.J. Brown,CHH,80,32,8.4,3.1,6.6,47.4,0,0,0,2.1,2.5,85.8,3.4,6.4,9.8,1.3,0.7,1,1.1,16.4
DerMarr Johnson,ATL,72,24,8.4,3,7.5,39.6,1.2,3.4,36,1.2,1.5,81,0.8,2.6,3.4,1.1,0.9,0.8,1.4,8.3
Jumaine Jones,CLE,81,26.5,8.3,3.5,7.9,44.8,0.6,2.1,31,0.6,0.8,66.2,1.5,4.5,6,1.4,0.9,0.6,1,11.6
Moochie Norris,HOU,82,27.4,8.1,3.1,7.7,39.8,0.4,1.6,26.9,1.5,2.1,75.1,0.9,2.1,3,4.9,1,0,1.9,10
Horace Grant,ORL,76,29.1,8,3.5,6.8,51.3,0,0,0,1.1,1.5,72.1,2.1,4.2,6.3,1.4,0.8,0.6,0.7,12.7
Rick Fox,LAL,82,27.9,7.9,3.1,7.4,42.1,0.8,2.5,31.3,0.9,1,82.4,1.1,3.6,4.7,3.5,0.8,0.3,1.6,11.1
Travis Best,CHI,74,23.6,7.9,3.1,7,44,0.3,0.8,35.6,1.4,1.6,89.7,0.3,1.8,2,4.4,1.2,0.1,1.3,10.1
Tyronn Lue,WAS,71,20.6,7.8,3.1,7.3,42.7,0.9,2,44.7,0.7,0.9,76.2,0.2,1.5,1.7,3.5,0.7,0,1.4,7.9
Othella Harrington,NYK,77,20.3,7.7,3.1,5.8,52.7,0,0,0,1.6,2.2,70.9,1.6,2.9,4.5,0.5,0.4,0.5,1.2,9
Chris Mihm,CLE,74,22.4,7.7,3,7.1,42,0,0.1,42.9,1.7,2.4,69.3,1.8,3.5,5.3,0.3,0.2,1.2,1.3,8.6
Erick Strickland,BOS,79,20.8,7.7,2.4,6.2,38.9,1.2,3.1,38.5,1.7,2,84.5,0.3,2.4,2.7,2.3,0.7,0,1.2,8.2
Ben Wallace,DET,80,36.5,7.6,3.2,6,53.1,0,0,0,1.2,2.9,42.3,4,9,13,1.4,1.7,3.5,0.9,21.9
Erick Dampier,GSW,73,23.8,7.6,2.9,6.6,43.5,0,0,0,1.9,2.9,64.5,2.3,3,5.3,1.2,0.2,2.3,2.1,9.7
Joe Johnson,PHX,77,24.9,7.5,3.3,7.6,43,0.5,1.7,29.2,0.5,0.7,77.4,1,2.4,3.3,2.3,0.8,0.3,0.9,8.8
Jonathan Bender,IND,78,21.1,7.4,2.5,5.9,43,0.6,1.6,36,1.8,2.3,77.3,0.8,2.3,3.1,0.8,0.2,0.6,1.2,7.1
Aaron Williams,NJN,82,18.9,7.2,2.8,5.4,52.6,0,0,0,1.6,2.3,69.9,1.4,2.7,4.1,0.9,0.4,0.9,1,9.4
Devean George,LAL,82,21.5,7.1,2.6,6.4,41.1,0.8,2.2,37.1,1,1.5,67.5,1,2.7,3.7,1.4,0.9,0.5,0.8,8.5
